signal strength,label
74,0
50,0
56,0
50,0
72,0
50,0
50,0
72,0
50,0
49,0
56,0
50,0
72,0
49,0
71,0
50,0
72,0
50,0
56,0
50,0
50,0
50,0
50,0
49,0
50,0
72,0
50,0
71,0
50,0
50,0
50,0
50,0
49,0
73,0
50,0
50,0
50,0
56,0
70,0
51,0
50,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
57,0
50,0
49,0
49,0
50,0
50,0
73,0
49,0
50,0
50,0
71,0
50,0
50,0
51,0
49,0
50,0
50,0
73,0
49,0
57,0
50,0
72,0
50,0
71,0
50,0
72,0
50,0
51,0
50,0
50,0
51,0
57,0
71,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
50,0
50,0
56,0
50,0
50,0
50,0
73,0
73,0
50,0
50,0
56,0
50,0
72,0
50,0
71,0
50,0
50,0
73,0
50,0
58,0
71,0
74,0
50,0
68,0
51,0
73,0
50,0
50,0
50,0
57,0
50,0
50,0
56,0
71,0
49,0
50,0
50,0
50,0
75,0
74,0
50,0
50,0
56,0
50,0
74,0
50,0
50,0
74,0
50,0
58,0
50,0
72,0
73,0
49,0
49,0
50,0
50,0
50,0
56,0
71,0
50,0
50,0
49,0
49,0
50,0
73,0
73,0
50,0
50,0
56,0
57,0
72,0
50,0
74,0
50,0
51,0
57,0
49,0
74,0
50,0
71,0
50,0
73,0
50,0
73,0
57,0
50,0
74,0
74,0
50,0
50,0
56,0
50,0
73,0
73,0
50,0
50,0
50,0
50,0
50,0
50,0
57,0
68,0
50,0
50,0
50,0
50,0
50,0
50,0
72,0
73,0
49,0
50,0
57,0
49,0
73,0
49,0
71,0
50,0
50,0
50,0
73,0
50,0
50,0
49,0
50,0
50,0
57,0
70,0
50,0
49,0
50,0
72,0
73,0
50,0
50,0
57,0
50,0
72,0
73,0
50,0
50,0
50,0
50,0
50,0
57,0
70,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
73,0
50,0
49,0
57,0
50,0
73,0
51,0
70,0
49,0
50,0
50,0
50,0
50,0
73,0
50,0
56,0
71,0
50,0
73,0
73,0
50,0
50,0
57,0
49,0
72,0
72,0
49,0
49,0
56,0
50,0
72,0
50,0
49,0
72,0
50,0
50,0
49,0
57,0
49,0
50,0
72,0
49,0
49,0
50,0
50,0
50,0
50,0
50,0
73,0
50,0
57,0
71,0
50,0
73,0
49,0
50,0
50,0
51,0
49,0
50,0
57,0
71,0
50,0
73,0
50,0
73,0
50,0
50,0
50,0
50,0
50,0
57,0
50,0
72,0
49,0
71,0
50,0
50,0
50,0
72,0
50,0
56,0
70,0
50,0
72,0
72,0
50,0
56,0
49,0
49,0
50,0
49,0
50,0
72,0
50,0
49,0
73,0
50,0
50,0
50,0
50,0
50,0
50,0
57,0
68,0
49,0
73,0
73,0
50,0
50,0
50,0
56,0
50,0
72,0
50,0
71,0
50,0
73,0
50,0
57,0
71,0
49,0
72,0
72,0
50,0
50,0
57,0
50,0
74,0
74,0
50,0
50,0
50,0
50,0
50,0
49,0
57,0
70,0
50,0
74,0
50,0
74,0
50,0
56,0
50,0
50,0
49,0
74,0
49,0
58,0
71,0
49,0
75,0
50,0
74,0
50,0
71,0
50,0
74,0
50,0
58,0
56,0
50,0
50,0
73,0
73,0
50,0
50,0
50,0
50,0
50,0
50,0
49,0
57,0
56,0
49,0
50,0
73,0
49,0
49,0
72,0
49,0
57,0
71,0
50,0
50,0
73,0
73,0
50,0
50,0
50,0
50,0
49,0
49,0
57,0
50,0
49,0
50,0
50,0
49,0
73,0
73,0
50,0
50,0
50,0
49,0
50,0
57,0
71,0
50,0
73,0
73,0
50,0
50,0
57,0
71,0
68,0
50,0
73,0
73,0
50,0
50,0
56,0
50,0
72,0
50,0
50,0
72,0
50,0
50,0
50,0
51,0
50,0
56,0
70,0
50,0
72,0
71,0
50,0
50,0
57,0
57,0
50,0
50,0
50,0
51,0
50,0
72,0
72,0
49,0
49,0
58,0
50,0
50,0
49,0
49,0
50,0
50,0
73,0
73,0
50,0
49,0
49,0
50,0
50,0
50,0
56,0
50,0
73,0
73,0
72,0
50,0
49,0
50,0
57,0
71,0
49,0
72,0
72,0
50,0
50,0
56,0
70,0
51,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
50,0
58,0
70,0
51,0
50,0
71,0
50,0
69,0
50,0
57,0
50,0
50,0
49,0
50,0
50,0
50,0
72,0
72,0
50,0
49,0
49,0
50,0
50,0
51,0
50,0
57,0
50,0
50,0
50,0
51,0
50,0
49,0
50,0
72,0
72,0
51,0
50,0
58,0
57,0
55,0
50,0
72,0
50,0
50,0
50,0
50,0
50,0
49,0
72,0
50,0
58,0
50,0
72,0
49,0
49,0
72,0
50,0
56,0
71,0
50,0
71,0
49,0
50,0
57,0
50,0
72,0
50,0
51,0
51,0
50,0
50,0
72,0
50,0
56,0
71,0
51,0
72,0
72,0
50,0
50,0
58,0
71,0
50,0
72,0
51,0
57,0
71,0
50,0
72,0
72,0
50,0
50,0
50,0
49,0
56,0
68,0
50,0
72,0
72,0
50,0
49,0
56,0
56,0
57,0
55,0
50,0
50,0
50,0
50,0
50,0
50,0
73,0
72,0
72,0
72,0
72,0
72,0
50,0
71,0
50,0
71,0
50,0
50,0
50,0
50,0
50,0
50,0
57,0
71,0
49,0
49,0
50,0
49,0
50,0
51,0
75,0
74,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
56,0
71,0
50,0
50,0
50,0
49,0
74,0
74,0
50,0
50,0
57,0
49,0
74,0
50,0
71,0
71,0
67,0
50,0
74,0
50,0
58,0
71,0
50,0
51,0
50,0
50,0
50,0
50,0
72,0
71,0
50,0
50,0
50,0
58,0
70,0
50,0
50,0
50,0
50,0
50,0
51,0
74,0
50,0
50,0
50,0
71,0
50,0
74,0
50,0
67,0
69,0
50,0
74,0
50,0
57,0
57,0
56,0
50,0
50,0
50,0
75,0
74,0
50,0
50,0
57,0
72,0
50,0
50,0
73,0
73,0
50,0
50,0
57,0
50,0
75,0
73,0
50,0
50,0
71,0
57,0
50,0
49,0
75,0
74,0
50,0
50,0
50,0
70,0
56,0
49,0
50,0
50,0
50,0
50,0
74,0
50,0
74,0
50,0
50,0
70,0
57,0
50,0
49,0
50,0
49,0
72,0
72,0
50,0
50,0
71,0
57,0
50,0
72,0
72,0
50,0
50,0
71,0
56,0
49,0
72,0
50,0
51,0
49,0
49,0
68,0
57,0
50,0
49,0
50,0
50,0
50,0
72,0
50,0
50,0
71,0
56,0
49,0
72,0
72,0
50,0
50,0
71,0
57,0
50,0
50,0
50,0
50,0
49,0
74,0
73,0
50,0
49,0
51,0
50,0
72,0
50,0
50,0
50,0
56,0
51,0
50,0
50,0
72,0
50,0
70,0
57,0
50,0
72,0
50,0
49,0
72,0
50,0
57,0
51,0
72,0
50,0
58,0
50,0
50,0
71,0
71,0
72,0
71,0
50,0
71,0
50,0
50,0
68,0
56,0
51,0
70,0
51,0
50,0
50,0
49,0
71,0
50,0
50,0
72,0
50,0
57,0
51,0
71,0
50,0
71,0
58,0
50,0
72,0
72,0
50,0
49,0
56,0
50,0
72,0
47,0
50,0
50,0
50,0
50,0
71,0
50,0
50,0
50,0
50,0
49,0
50,0
71,0
57,0
50,0
50,0
49,0
50,0
50,0
50,0
72,0
50,0
51,0
70,0
56,0
50,0
50,0
72,0
71,0
49,0
50,0
49,0
50,0
50,0
70,0
57,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
70,0
57,0
50,0
72,0
72,0
50,0
49,0
71,0
56,0
49,0
72,0
72,0
50,0
50,0
50,0
72,0
50,0
57,0
50,0
72,0
50,0
57,0
50,0
72,0
72,0
50,0
49,0
50,0
57,0
50,0
50,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
71,0
58,0
50,0
50,0
50,0
51,0
49,0
71,0
71,0
50,0
50,0
50,0
49,0
49,0
57,0
50,0
49,0
50,0
49,0
50,0
72,0
72,0
49,0
50,0
50,0
50,0
49,0
50,0
57,0
49,0
72,0
72,0
50,0
50,0
71,0
56,0
50,0
72,0
72,0
50,0
49,0
50,0
50,0
50,0
50,0
71,0
50,0
50,0
50,0
50,0
72,0
50,0
58,0
56,0
72,0
71,0
50,0
50,0
49,0
70,0
57,0
50,0
71,0
71,0
49,0
50,0
50,0
49,0
51,0
50,0
70,0
50,0
71,0
50,0
50,0
50,0
50,0
58,0
50,0
72,0
49,0
51,0
72,0
51,0
56,0
49,0
50,0
50,0
72,0
50,0
71,0
50,0
49,0
50,0
72,0
50,0
57,0
49,0
49,0
72,0
49,0
71,0
57,0
50,0
72,0
72,0
50,0
50,0
71,0
50,0
72,0
50,0
57,0
50,0
71,0
50,0
57,0
50,0
72,0
72,0
50,0
57,0
49,0
49,0
50,0
50,0
50,0
50,0
74,0
50,0
73,0
47,0
50,0
50,0
50,0
50,0
70,0
50,0
71,0
50,0
56,0
49,0
72,0
49,0
51,0
72,0
49,0
50,0
50,0
49,0
50,0
57,0
51,0
50,0
50,0
71,0
50,0
71,0
57,0
50,0
49,0
51,0
50,0
50,0
72,0
50,0
72,0
50,0
50,0
50,0
50,0
50,0
49,0
56,0
49,0
51,0
50,0
72,0
72,0
50,0
50,0
58,0
50,0
50,0
72,0
50,0
50,0
57,0
50,0
73,0
50,0
50,0
57,0
49,0
49,0
73,0
73,0
49,0
50,0
55,0
50,0
50,0
50,0
72,0
72,0
49,0
50,0
70,0
50,0
72,0
50,0
57,0
51,0
72,0
50,0
71,0
50,0
72,0
50,0
57,0
50,0
72,0
50,0
71,0
50,0
50,0
72,0
50,0
50,0
58,0
50,0
72,0
49,0
71,0
56,0
50,0
50,0
72,0
50,0
50,0
49,0
50,0
72,0
50,0
50,0
50,0
49,0
50,0
56,0
50,0
72,0
50,0
71,0
50,0
50,0
57,0
51,0
49,0
50,0
49,0
50,0
50,0
50,0
72,0
50,0
72,0
50,0
50,0
70,0
57,0
50,0
50,0
50,0
72,0
72,0
50,0
49,0
71,0
58,0
49,0
49,0
72,0
71,0
50,0
50,0
50,0
49,0
68,0
51,0
50,0
50,0
49,0
50,0
50,0
72,0
50,0
57,0
50,0
72,0
50,0
70,0
50,0
51,0
50,0
73,0
49,0
57,0
50,0
73,0
50,0
56,0
49,0
50,0
50,0
51,0
72,0
73,0
50,0
50,0
57,0
50,0
72,0
72,0
50,0
51,0
58,0
50,0
72,0
50,0
73,0
50,0
71,0
49,0
50,0
50,0
73,0
49,0
50,0
73,0
56,0
57,0
50,0
73,0
49,0
49,0
51,0
57,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
49,0
50,0
71,0
50,0
73,0
49,0
49,0
49,0
56,0
50,0
73,0
50,0
71,0
57,0
50,0
50,0
49,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
71,0
57,0
50,0
51,0
50,0
50,0
50,0
50,0
50,0
72,0
72,0
50,0
51,0
49,0
49,0
50,0
50,0
72,0
49,0
57,0
50,0
72,0
49,0
71,0
51,0
72,0
50,0
49,0
58,0
50,0
72,0
50,0
50,0
50,0
50,0
72,0
50,0
57,0
50,0
72,0
50,0
68,0
57,0
49,0
72,0
49,0
51,0
50,0
57,0
50,0
50,0
72,0
72,0
50,0
49,0
48,0
71,0
50,0
72,0
50,0
57,0
49,0
72,0
49,0
70,0
49,0
72,0
50,0
57,0
49,0
72,0
50,0
49,0
50,0
50,0
50,0
71,0
57,0
50,0
50,0
50,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
57,0
49,0
50,0
50,0
50,0
50,0
51,0
50,0
50,0
72,0
50,0
72,0
51,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
49,0
50,0
50,0
50,0
72,0
50,0
49,0
50,0
50,0
50,0
57,0
49,0
50,0
72,0
50,0
71,0
57,0
58,0
49,0
50,0
50,0
49,0
49,0
50,0
73,0
72,0
50,0
49,0
51,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
57,0
50,0
71,0
49,0
50,0
50,0
72,0
50,0
57,0
50,0
71,0
50,0
71,0
50,0
74,0
49,0
57,0
50,0
73,0
50,0
50,0
72,0
49,0
57,0
49,0
72,0
50,0
50,0
72,0
71,0
49,0
49,0
50,0
49,0
50,0
71,0
50,0
56,0
49,0
72,0
50,0
71,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
56,0
51,0
73,0
51,0
71,0
50,0
56,0
50,0
49,0
73,0
50,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
50,0
49,0
50,0
56,0
50,0
72,0
50,0
57,0
50,0
72,0
72,0
50,0
49,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
57,0
50,0
50,0
72,0
50,0
71,0
49,0
50,0
49,0
50,0
51,0
73,0
50,0
49,0
50,0
50,0
50,0
50,0
56,0
50,0
51,0
71,0
50,0
71,0
57,0
49,0
74,0
74,0
50,0
49,0
56,0
50,0
49,0
74,0
74,0
50,0
49,0
70,0
50,0
75,0
57,0
50,0
50,0
74,0
51,0
50,0
50,0
50,0
50,0
75,0
50,0
50,0
50,0
51,0
50,0
58,0
51,0
74,0
50,0
71,0
50,0
74,0
50,0
57,0
56,0
57,0
50,0
74,0
74,0
74,0
49,0
50,0
50,0
57,0
50,0
50,0
51,0
50,0
50,0
75,0
74,0
51,0
50,0
57,0
50,0
50,0
50,0
57,0
50,0
75,0
74,0
50,0
51,0
49,0
75,0
50,0
57,0
47,0
72,0
50,0
71,0
50,0
75,0
50,0
57,0
57,0
50,0
50,0
49,0
49,0
74,0
50,0
72,0
50,0
74,0
50,0
57,0
50,0
49,0
73,0
50,0
58,0
50,0
75,0
74,0
50,0
50,0
50,0
50,0
49,0
50,0
51,0
75,0
49,0
49,0
50,0
50,0
50,0
57,0
50,0
50,0
50,0
50,0
74,0
50,0
51,0
50,0
51,0
51,0
50,0
74,0
51,0
56,0
49,0
49,0
74,0
50,0
57,0
50,0
75,0
74,0
50,0
50,0
50,0
50,0
50,0
49,0
50,0
71,0
57,0
50,0
75,0
49,0
50,0
71,0
50,0
50,0
50,0
50,0
50,0
75,0
50,0
56,0
49,0
50,0
50,0
50,0
50,0
49,0
50,0
74,0
49,0
71,0
49,0
50,0
50,0
50,0
50,0
75,0
51,0
58,0
51,0
50,0
75,0
50,0
57,0
50,0
75,0
75,0
49,0
50,0
58,0
49,0
74,0
74,0
50,0
50,0
50,0
49,0
49,0
50,0
50,0
74,0
50,0
58,0
50,0
74,0
50,0
50,0
50,0
51,0
71,0
51,0
75,0
50,0
57,0
50,0
73,0
50,0
71,0
57,0
50,0
50,0
50,0
50,0
50,0
50,0
49,0
74,0
74,0
50,0
50,0
50,0
49,0
50,0
50,0
57,0
50,0
49,0
50,0
50,0
50,0
51,0
74,0
74,0
50,0
50,0
51,0
49,0
74,0
50,0
57,0
50,0
50,0
50,0
50,0
74,0
49,0
50,0
75,0
50,0
50,0
50,0
50,0
51,0
57,0
50,0
74,0
50,0
68,0
50,0
50,0
50,0
75,0
49,0
48,0
50,0
57,0
51,0
55,0
72,0
50,0
71,0
57,0
50,0
75,0
74,0
49,0
50,0
50,0
71,0
57,0
50,0
72,0
72,0
51,0
50,0
71,0
50,0
75,0
56,0
49,0
74,0
50,0
50,0
50,0
50,0
57,0
49,0
74,0
50,0
50,0
71,0
50,0
50,0
50,0
48,0
50,0
75,0
50,0
58,0
49,0
74,0
50,0
49,0
75,0
50,0
51,0
50,0
49,0
50,0
57,0
50,0
74,0
49,0
49,0
50,0
72,0
50,0
56,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
71,0
50,0
72,0
50,0
68,0
50,0
50,0
50,0
50,0
50,0
72,0
50,0
57,0
57,0
50,0
50,0
50,0
72,0
72,0
50,0
50,0
71,0
50,0
72,0
49,0
57,0
49,0
72,0
51,0
70,0
50,0
50,0
50,0
50,0
50,0
56,0
50,0
49,0
72,0
49,0
72,0
57,0
50,0
49,0
50,0
50,0
49,0
49,0
73,0
72,0
49,0
50,0
71,0
50,0
72,0
50,0
56,0
51,0
72,0
50,0
50,0
51,0
49,0
50,0
74,0
49,0
50,0
50,0
57,0
50,0
74,0
50,0
71,0
57,0
56,0
56,0
49,0
50,0
75,0
74,0
49,0
50,0
57,0
50,0
72,0
72,0
50,0
50,0
50,0
50,0
51,0
72,0
50,0
58,0
50,0
72,0
50,0
71,0
50,0
50,0
72,0
50,0
50,0
50,0
50,0
51,0
56,0
50,0
72,0
72,0
50,0
71,0
50,0
74,0
50,0
50,0
56,0
50,0
50,0
50,0
50,0
50,0
50,0
73,0
49,0
70,0
50,0
50,0
57,0
50,0
74,0
50,0
51,0
50,0
50,0
73,0
50,0
50,0
50,0
71,0
49,0
50,0
49,0
74,0
49,0
56,0
50,0
73,0
49,0
71,0
50,0
50,0
50,0
49,0
74,0
50,0
57,0
50,0
74,0
50,0
58,0
50,0
74,0
50,0
72,0
47,0
50,0
50,0
50,0
71,0
50,0
49,0
71,0
50,0
50,0
57,0
49,0
70,0
50,0
71,0
50,0
74,0
50,0
57,0
50,0
73,0
50,0
49,0
71,0
50,0
74,0
50,0
51,0
50,0
50,0
50,0
57,0
49,0
74,0
50,0
56,0
50,0
74,0
73,0
50,0
49,0
71,0
50,0
73,0
49,0
56,0
51,0
72,0
50,0
71,0
50,0
74,0
50,0
50,0
50,0
49,0
58,0
50,0
50,0
73,0
51,0
50,0
50,0
74,0
57,0
50,0
51,0
50,0
74,0
50,0
71,0
57,0
50,0
50,0
51,0
75,0
74,0
50,0
50,0
70,0
49,0
50,0
75,0
49,0
50,0
50,0
50,0
57,0
50,0
75,0
50,0
72,0
50,0
50,0
68,0
75,0
73,0
74,0
49,0
57,0
50,0
50,0
75,0
50,0
71,0
50,0
74,0
50,0
50,0
50,0
51,0
50,0
50,0
57,0
57,0
51,0
74,0
50,0
57,0
57,0
49,0
50,0
50,0
73,0
73,0
50,0
50,0
49,0
50,0
49,0
50,0
50,0
50,0
50,0
50,0
50,0
75,0
57,0
50,0
75,0
50,0
50,0
49,0
76,0
50,0
57,0
50,0
75,0
50,0
68,0
57,0
50,0
76,0
75,0
50,0
71,0
57,0
49,0
50,0
49,0
49,0
50,0
49,0
50,0
75,0
74,0
50,0
49,0
50,0
50,0
73,0
50,0
50,0
50,0
50,0
50,0
56,0
71,0
57,0
51,0
75,0
75,0
75,0
50,0
50,0
50,0
71,0
49,0
50,0
50,0
49,0
50,0
50,0
75,0
50,0
58,0
49,0
75,0
74,0
74,0
73,0
73,0
72,0
50,0
50,0
75,0
50,0
49,0
51,0
50,0
50,0
56,0
50,0
75,0
50,0
71,0
50,0
75,0
50,0
49,0
50,0
51,0
50,0
57,0
50,0
50,0
50,0
50,0
50,0
50,0
74,0
50,0
71,0
49,0
49,0
49,0
49,0
50,0
75,0
50,0
57,0
50,0
75,0
75,0
74,0
50,0
71,0
50,0
49,0
76,0
50,0
58,0
50,0
74,0
50,0
71,0
75,0
56,0
50,0
50,0
50,0
49,0
75,0
50,0
50,0
49,0
50,0
51,0
50,0
71,0
50,0
75,0
50,0
57,0
49,0
75,0
50,0
49,0
74,0
50,0
57,0
57,0
50,0
50,0
74,0
49,0
50,0
50,0
51,0
49,0
75,0
50,0
57,0
50,0
50,0
71,0
50,0
75,0
57,0
49,0
75,0
49,0
50,0
50,0
